Tiêu đề,Loại người bán,Tình trạng,Dòng máy,Phiên bản,Xuất xứ,Màu sắc,Dung lượng,Chính sách bảo hành,Giá,Tình trạng pin,Ngoại hình,Độ zin,ID tin,Link,Ngày đăng,Địa chỉ,Mô tả chi tiết,Scraped at
Apple iPhone 15 Pro 128GB LL/A likenew,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 15 Pro,Quốc tế (Không khoá mạng),Mỹ (LL/A),null,128 GB,4-6 tháng,15500000,null,null,null,131269157,https://www.chotot.com/131269157.htm,10 giờ trước,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh","Apple iPhone 15 Pro 128GB likenew ✅ Cấu hình: 128GB, mã Mỹ LL/A (dùng 2 e-sim) ✅ Tình trạng: đẹp 99%, pin cao, máy quốc tế zin all ✅ Giá: 15.500.000 ————//———— ✅ MACBOOKGIASI STORE ✅ Địa chỉ: 🏢 Trụ sở chính (Premium Store): 237 Trần Quang Khải, Phường Tân Định, Quận 1 🏠 Chi nhánh: 74 Quang Trung, Phường Gò Vấp, Quận Gò Vấp  ✔️ Bao test 30 ngày 1 đổi 1: lỗi phần cứng → đổi máy khác ngay, không sửa, không chờ ✔️ Bảo hành phần cứng 6 tháng ✔️ Máy Mỹ mã LL/A – 2 eSIM ✔️ Bảo hành thay pin trọn đời: pin dưới 80% → thay pin new hãng 100% ✔️ Bảo hành phần mềm vĩnh viễn, vệ sinh máy miễn phí ✔️ Quà tặng kèm theo máy: – Bộ sạc gồm cáp và cốc sạc nhanh Apple 20W (đổi mới trọn đời) – Dán cường lực trọn đời – Ốp lưng xịn trọn đời ✔️ Ưu đãi thêm: – Voucher giảm 500k cho lần mua sau – Tặng 100k tiền mặt khi check-in tại shop",2026-05-06 22:35:02
iPhone 13 128GB Xanh 95%,Cá nhân,Đã sửa chữa / thay linh kiện,iPhone 13,null,Việt Nam,Xám / Space Gray,128 GB,Hết bảo hành,6300000,null,null,null,132091563,https://www.chotot.com/132091563.htm,10 giờ trước,"Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","Điện thoại iPhone 13 128GB màu xanh, Hệ điều hành iOS 18.7.2. Thay pin Deji new 3510mA  Mhình thay 9hãng  Ngoại hình 95%",2026-05-06 22:35:03
iPhone 14 Pro 256GB Trắng 99%,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 14 Pro,Quốc tế (Không khoá mạng),Trung Quốc,Trắng,256 GB,Hết bảo hành,12500000,null,null,null,132217017,https://www.chotot.com/132217017.htm,10 giờ trước,"Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",iPhone 14 Pro 256gb Trắng quốc tế  máy đẹp 99. pin 100 full chức năng  mua bán tại nhà. có giao lưu lên đời  quẹt thẻ tín dụng. ace cần liên hệ ,2026-05-06 22:35:03
Đổi máy bán Iphone 12 ProMax 256 xanh 99% mới xài,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 12 Pro Max,null,null,Xám / Space Gray,256 GB,4-6 tháng,7500000,null,null,null,130807536,https://www.chotot.com/130807536.htm,10 giờ trước,"Phường 10, Quận 3, Tp Hồ Chí Minh","Mình cần tiền xoay sở cần bán lại máy iphone 12 Pro Max dung lượng 256gb màu xanh blue, gìn giữ kỹ từng chút một nên còn đẹp tự đánh giá là 99% luôn. Còn đủ biên lai bảo hành hơn 6 tháng nên ai mua thì cũng yên tâm mà dùng, mình sẽ bàn giao đủ khi giao dịch thành công. Máy icloud chính chủ, pin xài 2-3 ngày thoải mái. Phụ kiện đầy đủ: sạc cáp tai nghe hộp ốp lưng. Mua bán tại nhà riêng, tuyệt đối không giao dịch ngoài đường tránh rủi ro cho 2 bên. Vui lòng gọi trực tiếp!",2026-05-06 22:35:03
iPhone 13 Pro Max 256 mới dùng 9 tháng,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 13 Pro Max,Quốc tế (Không khoá mạng),null,Vàng,256 GB,3 tháng,9500000,null,null,null,131830730,https://www.chotot.com/131830730.htm,10 giờ trước,"Phường 5, Quận Bình Thạnh, Tp Hồ Chí Minh","Do đổi điện thoại mới, cần bán cái iphone 13 ProMax màu vàng Gold dung lượng 256gb phiên bản quốc tế đang xài ngon lành, máy chưa sửa chữa,  xài kỹ ốp lưng cường lực nên còn đẹp 99%. Camera sắc nét, pin khoẻ 2 ngày, mình chỉ bán cho người dùng không bán cho cửa hàng ép giá. ai cần liên hệ mình quận bình thạnh nha, giấy tờ mua bán giữ đầy đủ.",2026-05-06 22:35:03
iphone se2 2020 64gb ios 18.6.1 màn zin main zin,Cá nhân,Đã sửa chữa / thay linh kiện,iPhone SE,null,Mỹ (LL/A),Trắng,64 GB,4-6 tháng,2150000,null,null,null,132217013,https://www.chotot.com/132217013.htm,10 giờ trước,"Xã Nà Nghịu, Huyện Sông Mã, Sơn La",đã qua sử dụng  cam kết bảo hành 6tháng  came trc có một vết sọc nhỏ  tặng phụ kiện đầy đủ,2026-05-06 22:35:04
IPhone 17 Pro 256GB Lock Lên Esim,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 17 Pro,Khóa mạng (Lock),Mỹ (LL/A),Titan Tự nhiên,256 GB,>12 tháng,23790000,null,null,null,132217008,https://www.chotot.com/132217008.htm,10 giờ trước,"Phường 1, Quận Bình Thạnh, Tp Hồ Chí Minh","HCM Bình Thạnh thanh lý: - Iphone 17Pro 256gb Lock Đã độ esim. Không đục đẽo gì khung sườn. Ngoài độ esim thì tất cả đểu Zin đẹp chuẩn. - Esim quét mạng sóng căng 5G ổn định. Không lỗi vặt. Dùng như Quốc tế, tiết kiệm tiền. - Reset dòng 2, chuyển dữ liệu vô tư, - Ngoại hình máy có cấn nhẹ 2 chỗ như ảnh. Máy đẹp. Pin 100%, Bh apple 7/01/2027. Tin còn máy còn. Có quẹt thẻ. Cảm ơn ạ.",2026-05-06 22:35:04
Apple iPhone 12 Pro 128GB Xám,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 12 Pro,Quốc tế (Không khoá mạng),null,Xanh lá,128 GB,null,5500000,null,null,null,132216997,https://www.chotot.com/132216997.htm,10 giờ trước,"Phường 10, Quận 10, Tp Hồ Chí Minh","iphone 12 pro 128gb bản quốc tế mất Face còn lại các chức năng khác đều ok. Máy main zin màn zin, chụp ảnh đẹp, nghe gọi to rõ, pin zin 86% xài ổn định - Máy cam kết main zin, màn zin truetone đầy đủ. Máy e bán thì đều báo rõ hiện trạng và chức năng máy để mọi người yên tâm - Máy quốc tế, reset dòng 2 thoải mái  Bao test 7 ngày - Cám ơn mọi người đã xem tin",2026-05-06 22:35:04
Apple iPhone 17 Trắng Như mới,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 17,null,null,Trắng,null,>12 tháng,19900000,null,null,null,132216998,https://www.chotot.com/132216998.htm,10 giờ trước,"Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng",- Iphone 17 Ngoại hình như mới - nguyên Zin nguyên áp - Pin 100 - Còn BH 11/2026 - Hỗ trợ trả góp lên đời,2026-05-06 22:35:04
14 Plus 256G ZA/A Likenew. Full box… Nguyên zin !,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 14 Plus,Quốc tế (Không khoá mạng),Chính hãng VN (VNA),Xanh Pacific,256 GB,Hết bảo hành,10950000,null,null,null,132216963,https://www.chotot.com/132216963.htm,10 giờ trước,"Phường Tăng Nhơn Phú B (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",. Iphone 14 Plus 256G Tím ZA/A Quốc Tế HongKong (2 Sim Vật Lý)  . Ngoại hình đẹp keng không 1 vết trầy xước…  . Mọi chức năng hoạt động tốt. Không 1 lỗi lầm... Zin nguyên bản !  . Dung lượng Pin: 81%  . Phụ kiện: Full box + Ốp lưng + Cường lực  ===> 10.950.000 VNĐ,2026-05-06 22:35:05
12pmax 256gb zinall đẹp 99%  ( hỗ trợ góp tay đôi),Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 12 Pro Max,Quốc tế (Không khoá mạng),Mỹ (LL/A),Vàng,256 GB,4-6 tháng,10790000,null,null,null,131961785,https://www.chotot.com/131961785.htm,10 giờ trước,"Phường Tân Thành, Quận Tân Phú, Tp Hồ Chí Minh","📱 iPhone 12pmax 256gb Ngoại hình đẹp 99%  ,chuẩn máy zin nguyên bản pin 95  ✅ Cam kết KHÔNG lock – KHÔNG iCloud ẩn – KHÔNG main sửa_Không màn hình linh kiện ( ĐĂNG SAO BÁN VẬY,KHÔNG DẪN DỤ KHÁCH BÁO 1 GIÁ  ĐẾN NƠI  1GIÁ ĐỂ MẤT THỜI GIAN)  ⸻ QUYỀN LỢI KHÁCH HÀNG 	•	Bao test sử dụng 30 ngày 1 đổi 1 	•	Bảo hành 6 tháng phần cứng 	•	Bảo hành 12 tháng phần mềm  ⸻  💥 HỖ TRỢ TRẢ GÓP BAO ĐẬU  ✔️ Nợ xấu vẫn duyệt 100% ❌ Không thu phí hồ sơ ❌ Không gọi người thân ❌ Không giữ giấy tờ ❌ Không cài iCloud  👉 CIC đẹp hỗ trợ góp ngân hàng – không cần trả trước  ⸻  🎁 QUÀ TẶNG KHI MUA MÁY  🎁 Ốp lưng chống sốc tặng trọn đời 🎁 Cường lực KingKong chống rơi rớt dán miễn phí còn máy còn dán  🎁 Sạc + cáp zin 20W bảo hành 1 đổi 1 trong 1 năm ⸻  🔁 THU CŨ – ĐỔI MỚI GIÁ CAO  💥 Hỗ trợ lên đời / xuống đời giá tốt 💥 Giảm 50% tiền thay pin – linh kiện cho khách đã mua máy tại shop  ⸻  💳 THANH TOÁN LINH HOẠT  ✔️ Tiền mặt – chuyển khoản ✔️ Thẻ tín dụng ✔️ Thanh toán ONLINE nhanh gọn  ⸻  📞 Inbox hoặc Zalo: *** 🚚 Nhận thu cũ – đổi mới – ship tận nơi 🏯ĐỊA CHỈ shop 16/5 hoặc 16/2 Tân Thành phường Tân Thành quận Tân Phú  ⏰Làm Việc từ 8h-24h ( làm 24/7)",2026-05-06 22:35:05
IPhone 11 Pro 64GB Đen quốc tế zin all,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 11 Pro,Quốc tế (Không khoá mạng),null,Đen,64 GB,null,4800000,null,null,null,131818611,https://www.chotot.com/131818611.htm,10 giờ trước,"Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","Cần bán IPhone 11 Pro đen 64gb quốc tế, máy đẹp, máy mọi chức năng xài tốt, face id ok, pin trâu, máy chuẩn zin all, phụ kiện sạc cáp, có nhận trả góp bao nợ xấu hoặc góp qua thẻ tín dụng",2026-05-06 22:35:05
iPhone 15 Pro -256GB - Zin Ốc Đít - Đẹp 99 -Pin 87,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 15 Pro,null,null,Trắng,256 GB,3 tháng,18500000,null,null,null,131270006,https://www.chotot.com/131270006.htm,10 giờ trước,"Phường An Hòa, Quận Ninh Kiều, Cần Thơ","iPhone 15 Pro 5G Bộ nhớ 256GB Máy màu trắng - Zin ốc đít - Có khe sim như chính hãng 📲Giá=18.500.000₫ ════════════════ 🧩Tình trạng: Máy qua sử dụng. Đẹp 99%. Pin 87%  ⚙️Phần cứng: Chíp Apple A17 Pro . Màn hình LTPO Super Retina XDR OLED, 120Hz. 6.1 ”inches. Pin Li-Ion 3274 mAh 🕹️Phụ kiện: sạc 30w ⚙️Phần mềm: Full 100% tiếng Việt  ════════════════ ⛔BÁN TRẢ GÓP | TRẢ TRƯỚC 0 ĐỒNG ⛔THU CŨ ĐỔI MỚI TRỢ GIÁ LÊN ĐỜI ➔ Trả góp qua thẻ tín dụng Visa/Master, Home PayLater, ví MoMo (có hỗ trợ từ xa). ➔ Nhiều dòng máy hơn xem thêm wed >HMPHONE.VN< ═════════════════ ✴️Shop có các dòng điện thoại khác của chính hãng & xách tay, liên hệ để được báo giá. 🏪ĐỊA CHỈ: CẠNH 7C ĐƯỜNG MẬU THÂN, P CÁI KHẾ, TP CẦN THƠ ( đường Nguyễn Văn Cừ đi về cầu Rạch Ngỗng 1 Mậu Thân phía bên phải 100m từ cơm chay Bách Thảo 2 ) (lên Google Map gõ "" HM PHONE "" sẽ có hiển thị ra ) ⏰GIỜ MỞ CỬA: 9:00 - 21:00 (cả tuần).",2026-05-06 22:35:05
iPhone 14 Pro Max 128GB Tím Mỹ,Cá nhân,Đã sử dụng (chưa sửa chữa),iPhone 14 Pro Max,Quốc tế (Không khoá mạng),Mỹ (LL/A),Xanh Pacific,128 GB,Hết bảo hành,13890000,null,null,null,132216928,https://www.chotot.com/132216928.htm,10 giờ trước,"Phường Tân Lợi, Thành phố Buôn Ma Thuột, Đắk Lắk","14Prm bản mỹ Màu tím , dung lượng 128Gb, Máy zin full nguyên bản, 1 đời chủ sài từ khi đập hộp. Camera nét căng, mọi chức năng đầy đủ. Ngoại hình tổng thể đẹp 99% ko tì vết, Phù hợp cho ai có nhu cầu mua về sử dụng. Ace có nhu cầu Lh số em ạ, tks chợ tốt duyệt tin ( có Bh đầy đủ cho yên tâm ạ )",2026-05-06 22:35:05
iPhone 17 Pro Max 256GB Cam Mới - Quốc tế LL/A,Bán chuyên,Mới,iPhone 17 Pro Max,Quốc tế (Không khoá mạng),Mỹ (LL/A),Titan Tự nhiên,256 GB,Còn bảo hành,34900000,null,null,null,128640967,https://www.chotot.com/128640967.htm,10 giờ trước,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh","iPhone 17 Pro Max 256GB màu cam, hàng mới 100% nguyên seal.  - Phiên bản Mỹ LL/A, pin khỏe, 2 e-sim sóng mạnh.  - Hiệu năng tối ưu, thiết kế sang trọng, màu cam cá tính.  - Máy mới bảo hành 12 tháng, bao test 1 đổi 1 trong 30 ngày.  - Giá 34.900.000 đồng. ————//———— ✅ MACBOOKGIASI STORE ✅ Địa chỉ: 🏢 Trụ sở chính (Premium Store): 237 Trần Quang Khải, Phường Tân Định, Quận 1 🏠 Chi nhánh: 74 Quang Trung, Phường Gò Vấp, Quận Gò Vấp  ✔️ Bao test 30 ngày: lỗi phần cứng → đổi máy New 100% ngay, không sửa, không chờ ✔️ Bảo hành phần cứng 12 tháng: lỗi là đổi máy tương đương ngay lập tức ✔️ Máy Mỹ mã LL/A – 2 eSIM: pin dùng lâu hơn, sóng ổn định và mạnh hơn so với bản VN ✔️ Bảo hành thay pin trọn đời: pin dưới 80% → thay pin new hãng 100% ✔️ Bảo hành phần mềm vĩnh viễn, vệ sinh máy miễn phí ✔️ Quà tặng kèm theo máy: – Cốc sạc nhanh Apple 20W (đổi mới trọn đời) – Dán cường lực trọn đời – Ốp lưng xịn trọn đời ✔️ Ưu đãi thêm: – Voucher giảm 500k cho lần mua sau – Tặng 100k tiền mặt khi check-in tại shop",2026-05-06 22:35:06
iPhone 16 Pro 256GB Trắng Pin 100% bh 10/2026,Cá nhân,Đã sử dụng (chưa sửa chữa),iPhone 16 Pro,null,null,Trắng,256 GB,>12 tháng,16000000,null,null,null,132216924,https://www.chotot.com/132216924.htm,10 giờ trước,"Xã Hậu Mỹ Bắc B, Huyện Cái Bè, Tiền Giang",Lên đời e pass lại iphone 16 pro 256gb pin 100% sạc 75 lần máy còn bảo hành tgdd tháng 10/2026 bị cấn có 1 chấm mực như ảnh,2026-05-06 22:35:06
Bán gl iPhone 12 ProMax ngoại hình đẹp,Cá nhân,Đã sử dụng (chưa sửa chữa),iPhone 12 Pro Max,Quốc tế (Không khoá mạng),null,Xanh lá,128 GB,null,6000000,null,null,null,132216923,https://www.chotot.com/132216923.htm,10 giờ trước,"Xã Hòa Châu, Huyện Hòa Vang, Đà Nẵng","Máy full tính năng, ko lỗi lầm Ngoại hình đẹp Pin 100% Màn thay oled như zin (nhận đủ 60hz, faceID, cảm biến full) ",2026-05-06 22:35:07
iPhone 17 Promax Bạc 256gb nguyên seal,Cá nhân,Mới,iPhone 17 Pro Max,Quốc tế (Không khoá mạng),Việt Nam,Xanh dương,256 GB,>12 tháng,35600000,null,null,null,132196307,https://www.chotot.com/132196307.htm,10 giờ trước,"Phường Thạch Thang, Quận Hải Châu, Đà Nẵng",Mình dư 2 máy 17 Promax Bạc 256gb . Hàng Viettel full hoá đơn VAT. Hàng mới nguyên seal. Mình khá bận ae nhắn tin mình sẽ phản hồi lại nhé. Cảm ơn ae!,2026-05-06 22:35:07
iPhone 16 128GB Xanh lưu ly,Cá nhân,Đã sử dụng (chưa sửa chữa),iPhone 16,Quốc tế (Không khoá mạng),Việt Nam,Xám / Space Gray,128 GB,>12 tháng,18500000,null,null,null,132154705,https://www.chotot.com/132154705.htm,10 giờ trước,"Phường Phú Thạnh, Quận Tân Phú, Tp Hồ Chí Minh","Điện thoại iPhone 16 vn 128GB màu xanh lưu ly. Sạc 5 lần   - Máy sản xuất tháng 9 năm 2025, pin 100%.  - Hệ điều hành iOS 18.7.8.  - Bảo hành đến 26/04/2027.",2026-05-06 22:35:07
iPhone 16 Pro Max God titan Sa mạc 99% Fullbox,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 16 Pro Max,null,null,Vàng,256 GB,3 tháng,20500000,null,null,null,131816752,https://www.chotot.com/131816752.htm,10 giờ trước,"Phường 10, Quận 10, Tp Hồ Chí Minh","Trả tiền nhà cần bán iphone 16 Pro Max màu God titan sa mạc dung lượng bộ nhớ 256gb. Ngoại hình đẹp 99%, chức năng hoàn hảo, pin dòng máy này cực kỳ ngon 2 ngày thoải mái, icloud chính chủ, bảo hành hơn 3 tháng nên chỉ việc mua là dùng. Phụ kiện đầy đủ như mua mới. Ai cần gọi trực tiếp mình, không tiếp thầy thợ trả giá, cám ơn nhiều nha.",2026-05-06 22:35:08
iPhone 16 Pro Max 256GB Vàng,Cá nhân,Đã sử dụng (chưa sửa chữa),iPhone 16 Pro Max,Quốc tế (Không khoá mạng),Mỹ (LL/A),Vàng,256 GB,Hết bảo hành,22000000,null,null,null,132155503,https://www.chotot.com/132155503.htm,10 giờ trước,"Phường 19, Quận Bình Thạnh, Tp Hồ Chí Minh","iPhone 16 Pro Max 256GB titan sa mạc like new 99% bản quốc tế Mỹ xách tay về , máy zin , chức năng đầy đủ .    Giao dịch tại nhà  🔋87% bao trâu",2026-05-06 22:35:08
Apple iPhone 12 Pro 128GB Xanh quốc tế Full,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 12 Pro,Quốc tế (Không khoá mạng),null,Xám / Space Gray,128 GB,null,5200000,null,null,null,132216893,https://www.chotot.com/132216893.htm,10 giờ trước,"Phường 10, Quận 10, Tp Hồ Chí Minh","12 pro 128gb bản quốc tế đầy đủ chức năng, đã thay màn GX có truetone, cảm ứng mượt, pin 94% sử dụng ổn định, chụp ảnh đẹp, FacE ID nhạy - máy quốc tế reset dòng 2 thoải mái, nghe gọi to rõ, sóng sánh ổn định  - bao test 7 ngày tất cả chức năng - Cám ơn mọi người đã xem tin",2026-05-06 22:35:08
Apple iPhone 13 128GB Trắng 99%,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 13,Quốc tế (Không khoá mạng),Trung Quốc,Trắng,128 GB,Hết bảo hành,6000000,null,null,null,132216880,https://www.chotot.com/132216880.htm,10 giờ trước,"Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",iPhone 13 trắng 128gb quốc tế  ngoại hình 99. mực mép nhỏ. pin 100  mua bán tại nhà. có giao lưu  quẹt thẻ tín dụng  . ace nào cần liên hệ ,2026-05-06 22:35:08
Apple iPhone 14 Pro Max 256GB Tím,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 14 Pro Max,null,Việt Nam,Xanh Pacific,256 GB,4-6 tháng,14790000,null,null,null,132196258,https://www.chotot.com/132196258.htm,10 giờ trước,"Phường 11, Quận Phú Nhuận, Tp Hồ Chí Minh","🍎🍎🍎14 promax tím - đen 256gb mã Việt Nam! Zin all nhâm ốp 98%. Full chức năng pin thay mới 100%. Màn đẹp ko spa ạ  💵14tr790  --------------- + Bao test 1 đổi 1 trong 15 ngày. Bảo hành 6 tháng  + Tặng kèm sạc cáp 20w , cường lực ốp lưng + Thu cũ đổi mới . hỗ trợ lên đời + Hỗ trợ quẹt thẻ tín dụng  -> 25 Mai Văn Ngọc p11 Phú nhuận",2026-05-06 22:35:08
iphone 17-256gb Blue/White Vn Sạc 0 lần bh 28/4/27,Bán chuyên,Mới,iPhone 17,Quốc tế (Không khoá mạng),Việt Nam,Trắng,256 GB,>12 tháng,22300000,null,null,null,132175952,https://www.chotot.com/132175952.htm,10 giờ trước,"Phường Văn Miếu, Quận Đống Đa, Hà Nội",Sẵn 1 cặp 17 Việt Nam ActiveOn giá chỉ cao hơn máy cũ có vài trăm mà lại đc máy mới:    🍎 iphone 17-256gb Blue/White Việt Nam  > Đều Mua xong Active lên k sdung Bh dài 28/04/2027 chính hãng sạc 0 lần.  > Hỗ trợ đóng mới cho ace biếu tặng.  > Máy mới giá hơn cũ chút chỉ 22tr300 blue và 22.500 trắng.   🔔NHẬN 🤝 LÊN XUỐNG 🔔  >>  CHỈ BÁN HÀNG CHẤT<<   —————————          iCLEANSHOP           ☎️:*** -***           🏦 3 Nguyễn Như Đổ- Văn Miếu- Đống Đa- Hà Nội,2026-05-06 22:35:09
Apple iPhone 13 128GB  Vỡ màn & lưng,Cá nhân,Đã sửa chữa / thay linh kiện,iPhone 13,null,null,Trắng,128 GB,null,5500000,null,null,null,132196812,https://www.chotot.com/132196812.htm,10 giờ trước,"Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh","Cần bán iPhone 13 vỡ màn & lưng - iCloud chính chủ - Bao test main  Tình trạng: Máy bị rơi nên vỡ màn hình và kính lưng sau. Chức năng khác: Main zin, FaceID vẫn nhận, các linh kiện bên trong (pin, camera, loa) hoạt động hoàn hảo. Tài khoản: iCloud chính chủ, bao thoát sạch sẽ.",2026-05-06 22:35:09
iPhone 12 Pro Max 128GB Vàng LL/A,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 12 Pro Max,null,Mỹ (LL/A),Vàng,128 GB,null,5200000,null,null,null,132216858,https://www.chotot.com/132216858.htm,10 giờ trước,"Xã Vĩnh Tân, Thị xã Tân Uyên, Bình Dương","iPhone 12 Pro Max 128GB LL/A 🇺🇸    • Đã thay màn GX – hiển thị sáng đẹp, cảm ứng ok   • Face ID nhạy, full chức năng không thiếu gì   • Ngoại hình 7/10, có trầy nhẹ viền và lưng   • Pin ổn định, dùng cả ngày cơ bản    Máy phù hợp ai cần hiệu năng mạnh, giá dễ tiếp cận.   Giá 5triệu200",2026-05-06 22:35:09
IPhone 8 Plus 64GB Đen quốc tế,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 8 plus,Quốc tế (Không khoá mạng),null,Đen,64 GB,null,2200000,null,null,null,130334445,https://www.chotot.com/130334445.htm,10 giờ trước,"Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","Cần bán IPhone 8 Plus đen 64gb quốc tế, máy mọi chức năng xài tốt, vân tay ok, pin trâu, phụ kiện sạc cáp",2026-05-06 22:35:09
iPhone 17 Pro Max 256GB Blue Mới - Quốc tế LL/A,Bán chuyên,Mới,iPhone 17 Pro Max,Quốc tế (Không khoá mạng),Mỹ (LL/A),Xám / Space Gray,256 GB,Còn bảo hành,34300000,null,null,null,129084294,https://www.chotot.com/129084294.htm,10 giờ trước,"Phường Tân Định, Quận 1, Tp Hồ Chí Minh","iPhone 17 Pro Max 256GB màu Blue, hàng mới 100% nguyên seal.  - Phiên bản Mỹ LL/A, pin khỏe, 2 e-sim sóng mạnh.  - Hiệu năng tối ưu, thiết kế sang trọng.  - Máy mới bảo hành 12 tháng, bao test 1 đổi 1 trong 30 ngày.  - Giá 34.300.000 đồng. ————//———— ✅ MACBOOKGIASI STORE ✅ Địa chỉ: 🏢 Trụ sở chính (Premium Store): 237 Trần Quang Khải, Phường Tân Định, Quận 1 🏠 Chi nhánh: 74 Quang Trung, Phường Gò Vấp, Quận Gò Vấp  ✔️ Bao test 30 ngày: lỗi phần cứng → đổi máy New 100% ngay, không sửa, không chờ ✔️ Bảo hành phần cứng 12 tháng: lỗi là đổi máy tương đương ngay lập tức ✔️ Máy Mỹ mã LL/A – 2 eSIM: pin dùng lâu hơn, sóng ổn định và mạnh hơn so với bản VN ✔️ Bảo hành thay pin trọn đời: pin dưới 80% → thay pin new hãng 100% ✔️ Bảo hành phần mềm vĩnh viễn, vệ sinh máy miễn phí ✔️ Quà tặng kèm theo máy: – Cốc sạc nhanh Apple 20W (đổi mới trọn đời) – Dán cường lực trọn đời – Ốp lưng xịn trọn đời ✔️ Ưu đãi thêm: – Voucher giảm 500k cho lần mua sau – Tặng 100k tiền mặt khi check-in tại shop",2026-05-06 22:35:10
iPhone 12 đen Đã qua sử dụng,Cá nhân,Đã sử dụng (chưa sửa chữa),iPhone 12,null,null,Đen,null,null,3500000,null,null,null,132216802,https://www.chotot.com/132216802.htm,10 giờ trước,"Phường 4, Quận 8, Tp Hồ Chí Minh","Điện thoại iPhone 12 quốc tế bị nứt kính.  - mất face Mới thay pin  - Máy vẫn dùng bình thường.   - Camera chụp ảnh đẹp, hiệu năng ổn định.",2026-05-06 22:35:10
iPhone 16 256GB Trắng,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 16,Quốc tế (Không khoá mạng),Việt Nam,Trắng,256 GB,Hết bảo hành,14500000,null,null,null,132216771,https://www.chotot.com/132216771.htm,10 giờ trước,"Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh",iPhone 16 256g Trắng VN. pin 90 máy zin full chức năng. mua bán tại nhà  có giao lưu quẹt thẻ tín dụng. ace cần liên hệ,2026-05-06 22:35:10
IPhone 12 Pro 128GB Trắng quốc tế zin all,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 12 Pro,Quốc tế (Không khoá mạng),null,Trắng,128 GB,null,6000000,null,null,null,130916636,https://www.chotot.com/130916636.htm,10 giờ trước,"Phường Bình Trị Đông, Quận Bình Tân, Tp Hồ Chí Minh","Cần bán IPhone 12 Pro trắng 128gb quốc tế, máy mọi chức năng xài tốt, face id ok, pin trâu, máy chuẩn zin all, màn chuẩn zin có thay từ máy khác qua, phụ kiện sạc cáp, có nhận trả góp bao nợ xấu",2026-05-06 22:35:10
iPhone Xs Max 256GB Trắng Đã sử dụng,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone XS Max,null,null,Trắng,256 GB,null,3200000,null,null,null,132216767,https://www.chotot.com/132216767.htm,10 giờ trước,"Phường Phước Long A (Quận 9 cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",xsmax 256g full face màn đep camera nét căng pin thay mới bán nhanh gọn 3tr2,2026-05-06 22:35:11
iPhone 17 Pro Max 256GB Trắng Vn Sạc 10L Likenew,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 17 Pro Max,Quốc tế (Không khoá mạng),Việt Nam,Trắng,256 GB,>12 tháng,34800000,null,null,null,132216757,https://www.chotot.com/132216757.htm,10 giờ trước,"Phường Văn Miếu, Quận Đống Đa, Hà Nội",Iphone 17ProMax256gb trắng Việt Nam  Máy Likenew fullbox sạc đúng 11 lần còn bh dài 04/2027 chính hãng.  Giá 34.800.   Ngoài ra bên e sẵn 17ProMax qte zin chất 100% giá chỉ từ 30500.   NHẬN GIAO LƯU LÊN XUỐNG TẤT CẢ iPHONE- ANDROI,2026-05-06 22:35:11
