Tiêu đề,Loại người bán,Tình trạng,Dòng máy,Phiên bản,Xuất xứ,Màu sắc,Dung lượng,Chính sách bảo hành,Giá,Tình trạng pin,Ngoại hình,Độ zin,ID tin,Link,Ngày đăng,Địa chỉ,Mô tả chi tiết,Scraped at
iPhone 15 Pro Lock 128GB Đen,Cá nhân,Đã sử dụng (chưa sửa chữa),iPhone 15 Pro,Khóa mạng (Lock),null,Đen,128 GB,null,12345678,null,null,null,132228234,https://www.chotot.com/132228234.htm,39 phút trước,"Phường Mộ Lao, Quận Hà Đông, Hà Nội","iPhone 15 Pro Lock 128GB. Máy nguyên zin lưng cạnh không tì vết, màn xước dăm, pin 90, chưa độ chế.",2026-05-06 22:30:37
iPhone 13 Pro Max 256GB Xanh,Cá nhân,Đã sử dụng (chưa sửa chữa),iPhone 13 Pro Max,null,null,Xám / Space Gray,256 GB,Hết bảo hành,9200000,null,null,null,132228198,https://www.chotot.com/132228198.htm,41 phút trước,"Phường Hòa Lợi, Thị xã Bến Cát, Bình Dương",có cây 13prm bản TA bộ nhớ 256gb máy còn nguyên zin chưa sửa chữa gì pin nguyên theo máy chưa thay pin còn 80 bảo anh em test thoải mái  ,2026-05-06 22:30:37
"⭐️Ip15 Plus 128Gb QT(LL/A) ⭐️Zin all, giá tốt✔️",Bán chuyên,Đã sửa chữa / thay linh kiện,iPhone 15 Plus,null,null,null,null,null,12990000,null,null,null,131705311,https://www.chotot.com/131705311.htm,41 phút trước,"Phường Vĩ Dạ, Thành phố Huế, Thừa Thiên Huế","Iphone 15Plus 128GB QT (LL/A), Black ⭐️⭐️⭐️ Nguyên zinnn✔️✔️✔️  •Ngoại hình đẹp  •Pin : 99% •Cấu hình mượt, full chức năng •Icloud sạch •Bản Esim •Màn zin, main zin  Giá chỉ💸💸💸: 13.990.000   ⭐️𝑻𝙝𝒂𝙣𝒉 𝒍𝙮́ đ𝒊𝙚̣̂𝒏 𝒕𝙝𝒐𝙖̣𝒊 𝒈𝙞𝒂́ 𝒕𝙤̂́𝒕⭐️  ✅Tặng kèm sạc cáp . ✅Bao test 1 tuần lỗi đổi máy khác. ✅ Hỗ trợ trả góp lãi suất thấp thủ tục nhanh gọn.  ✍️Bên mình vẫn còn các dòng khác đủ mã từ máy cỏ đến đời cao ace cần máy gì cứ liên hệ nhé  🏦Dịch vụ cầm đồ Hoài Sơn - 13A Hàn Mặc Tử, Vỹ Dạ , Huế ☎️Mrs Sam: ***",2026-05-06 22:30:37
iPhone 14 Pro Max 128GB Đã dùng,Cá nhân,Đã sử dụng (chưa sửa chữa),iPhone 14 Pro Max,Quốc tế (Không khoá mạng),null,Đen,128 GB,null,13000000,null,null,null,132189711,https://www.chotot.com/132189711.htm,42 phút trước,"Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội","Điện thoại iPhone 14 Pro Max 128GB đã qua sử dụng.   - Hình thức máy 95-97%.   - Pin 83%, dùng ổn định.   - Hiệu năng mạnh, camera đẹp.",2026-05-06 22:30:38
Apple iPhone 16 Plus Trắng Khay Sim,Cá nhân,Đã sử dụng (chưa sửa chữa),iPhone 16 Plus,Quốc tế (Không khoá mạng),null,Trắng,128 GB,null,15500000,null,null,null,132228176,https://www.chotot.com/132228176.htm,42 phút trước,"Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội","Mình cần bán chiếc iPhone 16Plus bản quốc tế có khay sim Máy zin hết, pin 92% Có bớt chút cho mn qua mua",2026-05-06 22:30:38
iPhone 12 Pro Max 128GB Xanh,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 12 Pro Max,null,null,Xám / Space Gray,128 GB,null,6500000,null,null,null,132225879,https://www.chotot.com/132225879.htm,44 phút trước,"Phường Khương Đình, Quận Thanh Xuân, Hà Nội",12prm 128g xanh  màn zin ép kính bay nhanh 6.5tr ,2026-05-06 22:30:38
iPhone 13 Pro Max 128GB Vàng,Cá nhân,Đã sử dụng (chưa sửa chữa),iPhone 13 Pro Max,Quốc tế (Không khoá mạng),null,Vàng,128 GB,null,7500000,null,null,null,132228144,https://www.chotot.com/132228144.htm,45 phút trước,"Phường Chính Gián, Quận Thanh Khê, Đà Nẵng","Điện thoại iPhone 13 Pro Max 128GB màu vàng, pin 91%. Full zin màn zin ép kính ko lo xanh màn mik cần gl hoặc bán ạ",2026-05-06 22:30:38
Apple iPhone 15 Pro Max 256GB Đen Mỹ,Cá nhân,Đã sử dụng (chưa sửa chữa),iPhone 15 Pro Max,null,Mỹ (LL/A),Đen,256 GB,null,17300000,null,null,null,132228142,https://www.chotot.com/132228142.htm,45 phút trước,"Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng",Cần bán 15prm 256gb mỹ Máy đẹp pin 100  Máy nguyên rin còn bảo hành ở cửa hàng,2026-05-06 22:30:39
iPhone 13 Pro 128GB Qte Màn zin Main zin P100 497,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 13 Pro,Quốc tế (Không khoá mạng),Nhật Bản,Xanh lá,128 GB,3 tháng,7900000,null,null,null,132228140,https://www.chotot.com/132228140.htm,45 phút trước,"Phường An Cư, Quận Ninh Kiều, Cần Thơ","- Máy quốc tế Nhật đẹp 98%, màn zin chưa fix, main zin, pin new 100% - Chức năng full Face Id đầy đủ ko lỗi - ICloud sạch bao reset thoải mái - Bao test 7 ngày lỗi hoàn tiền (BH 3 tháng +500k) - Phụ kiện sạc cáp 20w, ốp lưng, cường lực (Ko lấy pk giảm 200k) - Có ship cód toàn quốc - Hỗ trợ trả góp qua HDsaison, quẹt thẻ tín dụng.",2026-05-06 22:30:39
Apple iPhone XR Trắng Đã sử dụng,Cá nhân,Đã sử dụng (chưa sửa chữa),iPhone XR,null,null,Trắng,64 GB,Hết bảo hành,1950000,null,null,null,132228132,https://www.chotot.com/132228132.htm,46 phút trước,"Phường 15, Quận 4, Tp Hồ Chí Minh","Xr quốc tế ngoại hình xấu, không face id pin zin 77%  1950k quận 4 ***",2026-05-06 22:30:39
iPhone 11 Pro Max 256GB Đen,Cá nhân,Đã sử dụng (chưa sửa chữa),iPhone 11 Pro Max,null,null,Đen,256 GB,null,4500000,null,null,null,132228086,https://www.chotot.com/132228086.htm,50 phút trước,"Phường Phúc Xá, Quận Ba Đình, Hà Nội","Điện thoại iPhone 11 Pro Max màu đen  - Máy dùng ổn định, ngoại hình đẹp.256g -  Đã thay pin, thay màn oled",2026-05-06 22:30:39
iphone 17,Cá nhân,Đã sử dụng (chưa sửa chữa),iPhone 17,null,Chính hãng VN (VNA),Xanh Pacific,256 GB,4-6 tháng,21000000,null,null,null,132228054,https://www.chotot.com/132228054.htm,52 phút trước,"Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh",Mình mới mua máy đợt tết cần tiền lên bán,2026-05-06 22:30:40
Apple iPhone 14 Pro Max Tím Đã sử dụng,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 14 Pro Max,null,null,Xanh Pacific,256 GB,Hết bảo hành,6500000,null,null,null,132207097,https://www.chotot.com/132207097.htm,55 phút trước,"Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng",14 promax Xài chống cháy  Full chức năng Màn có tý nốt ruồi,2026-05-06 22:30:40
Apple iPhone 13 Pro Max 128GB Mỹ,Bán chuyên,Đã sử dụng (chưa sửa chữa),iPhone 13 Pro Max,null,Mỹ (LL/A),null,128 GB,null,8950000,null,null,null,132227991,https://www.chotot.com/132227991.htm,57 phút trước,"Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội",ip 13pro max bản 128G mỹ máy zin áp pin 91 bao thợ thuyền check tét thoải mái máy còn đẹp như ảnh không lỗi lầm bán giao lưu máy khác ai mua gliu ib,2026-05-06 22:30:41
iPhone 13 Pro Max 128GB,Cá nhân,Đã sử dụng (chưa sửa chữa),iPhone 13 Pro Max,Quốc tế (Không khoá mạng),null,null,128 GB,null,6500000,null,null,null,132227970,https://www.chotot.com/132227970.htm,57 phút trước,"Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng","13 promax 128gb, pin 89% - màn oled, ngoại hình đẹp keng full chức năng, đẹp cần ra đi ạ",2026-05-06 22:30:41
